origin,carrier,flights,delay_rate,avg_delay_mins
PHX,AA,4503,0.224294914501443,16.4554741283589
PHX,AS,469,0.185501066098081,11.5245202558635
PHX,DL,879,0.137656427758817,12.7235494880546
PHX,F9,672,0.181547619047619,16.5907738095238
PHX,MQ,853,0.159437280187573,9.74560375146542
PHX,OO,1623,0.172520024645718,12.1879235982748
PHX,UA,844,0.206161137440758,11.8661137440758
PHX,WN,5765,0.266088464874241,14.1156981786644
PIE,G4,713,0.201963534361851,12.8835904628331
PIT,AA,519,0.190751445086705,14.5780346820809
PIT,UA,364,0.126373626373626,6.2032967032967
PIT,WN,866,0.157043879907621,10.6281755196305
PIT,YX,942,0.190021231422505,11.9628450106157
PSC,OO,392,0.125,9.02040816326531
PSP,OO,508,0.200787401574803,14.5216535433071
PVD,WN,474,0.158227848101266,9.59915611814346
PWM,YX,411,0.197080291970803,12.3430656934307
RDM,OO,322,0.127329192546584,8.22670807453416
RDU,AA,857,0.210035005834306,17.6289381563594
RDU,DL,1013,0.131293188548865,10.6614017769003
RDU,F9,353,0.229461756373938,24.0821529745043
RDU,UA,549,0.214936247723133,15.7012750455373
RDU,WN,789,0.200253485424588,10.0114068441065
RDU,YX,558,0.315412186379928,22.4014336917563
RIC,YX,378,0.304232804232804,22.2592592592593
RNO,WN,635,0.203149606299213,13.0913385826772
RSW,AA,336,0.235119047619048,21.1369047619048
RSW,DL,489,0.14519427402863,12.6625766871166
RSW,UA,405,0.172839506172839,15.1802469135802
RSW,WN,626,0.190095846645367,11.0143769968051
SAF,OO,359,0.214484679665738,14.0612813370474
SAN,AA,748,0.212566844919786,22.8502673796791
SAN,AS,1041,0.212295869356388,14.611911623439
SAN,DL,799,0.102628285356696,13.6871088861076
SAN,OO,1158,0.218480138169257,14.8920552677029
SAN,UA,866,0.161662817551963,10.4976905311778
SAN,WN,3132,0.269795657726692,13.8793103448276
SAT,AA,629,0.165341812400636,12.9030206677265
SAT,DL,571,0.120840630472855,13.5061295971979
SAT,UA,481,0.216216216216216,13.3846153846154
SAT,WN,1328,0.173192771084337,10.5256024096386
SBN,OO,487,0.219712525667351,14.3778234086242
SBP,OO,320,0.25,18.621875
SDF,WN,471,0.178343949044586,9.21656050955414
SDF,YX,416,0.146634615384615,11.9447115384615
SEA,AA,537,0.147113594040968,9.01675977653631
SEA,AS,5798,0.209555018972059,11.8677130044843
SEA,DL,2632,0.168693009118541,12.1850303951368
SEA,OO,2284,0.11646234676007,7.47241681260946
SEA,UA,729,0.138545953360768,10.2935528120713
SEA,WN,614,0.260586319218241,13.2117263843648
SFB,G4,853,0.283704572098476,20.4337631887456
SFO,AA,951,0.202944269190326,19.9400630914826
SFO,AS,784,0.235969387755102,15.0012755102041
SFO,B6,347,0.221902017291066,20.971181556196
SFO,DL,1155,0.185281385281385,14.7463203463203
SFO,OO,2578,0.229247478665632,14.1947245927075
SFO,UA,4965,0.158308157099698,9.45760322255791
SFO,WN,791,0.427307206068268,24.1289506953224
SGF,MQ,355,0.222535211267606,14.1267605633803
SGU,OO,416,0.139423076923077,9.94711538461539
SHV,OO,423,0.212765957446809,26.9574468085106
SJC,OO,645,0.122480620155039,7.50542635658915
SJC,WN,2171,0.251957623215108,13.2326116996776
SJU,B6,695,0.250359712230216,17.3712230215827
SLC,AA,344,0.215116279069767,24.6831395348837
SLC,DL,4345,0.166168009205984,10.4833141542002
SLC,F9,319,0.191222570532915,19.3260188087774
SLC,OO,2946,0.0784114052953157,5.60862186014935
SLC,UA,366,0.177595628415301,10.4234972677596
SLC,WN,938,0.230277185501066,11.7217484008529
SMF,OO,779,0.179717586649551,11.9473684210526
SMF,UA,362,0.0966850828729282,4.79281767955801
SMF,WN,2609,0.224223840551936,12.2981985435033
SNA,AA,537,0.206703910614525,22.3333333333333
SNA,AS,332,0.126506024096386,7.14156626506024
SNA,DL,392,0.14030612244898,15.4464285714286
SNA,OO,437,0.240274599542334,15.4759725400458
SNA,UA,501,0.153692614770459,11.7744510978044
SNA,WN,1157,0.189282627484875,10.6957649092481
SRQ,WN,386,0.150259067357513,9.39119170984456
STL,AA,517,0.189555125725339,21.9574468085106
STL,DL,446,0.112107623318386,10.3273542600897
STL,WN,3469,0.22744306716633,12.3156529259152
TPA,AA,952,0.194327731092437,18.6985294117647
TPA,B6,392,0.306122448979592,26.2933673469388
TPA,DL,1030,0.20873786407767,17.1747572815534
TPA,F9,450,0.191111111111111,15.6066666666667
TPA,NK,347,0.210374639769452,15.328530259366
TPA,UA,624,0.165064102564103,11.7147435897436
TPA,WN,1897,0.232472324723247,12.6673695308382
TUL,OO,314,0.130573248407643,8.98726114649681
TUL,WN,515,0.16504854368932,11.2796116504854
TUS,OO,499,0.124248496993988,9.9939879759519
TUS,WN,402,0.154228855721393,9.87064676616915
TYS,G4,357,0.330532212885154,21.0644257703081
XNA,MQ,386,0.194300518134715,10.4922279792746
