ORIGIN,flights,delay_rate,mean_delay,median_delay,p90,p95,p99
BJI,56,0.125,6.446428571428571,0.0,18.5,53.5,77.80000000000007
ESC,54,0.09259259259259259,14.592592592592593,0.0,12.100000000000009,21.69999999999999,343.8899999999999
DEC,54,0.3888888888888889,23.5,3.5,66.00000000000006,84.04999999999998,206.82999999999979
CDC,54,0.05555555555555555,4.148148148148148,0.0,9.400000000000006,13.749999999999972,74.19999999999993
SCK,54,0.42592592592592593,62.05555555555556,2.5,74.50000000000001,167.99999999999932,1056.1599999999999
LAR,53,0.3018867924528302,16.30188679245283,0.0,38.800000000000026,79.79999999999993,152.8799999999999
APN,53,0.05660377358490566,9.037735849056604,0.0,2.400000000000013,32.19999999999993,196.59999999999985
HYS,53,0.1509433962264151,13.20754716981132,0.0,46.00000000000004,94.59999999999997,161.79999999999967
EAR,53,0.20754716981132076,27.264150943396228,0.0,65.60000000000011,104.39999999999995,447.6399999999997
MCW,53,0.39622641509433965,19.754716981132077,6.0,48.800000000000004,59.4,157.63999999999956
ORH,53,0.11320754716981132,6.39622641509434,0.0,14.200000000000017,25.0,112.51999999999984
VCT,53,0.3584905660377358,44.886792452830186,0.0,108.60000000000005,217.19999999999976,496.4799999999998
DVL,53,0.24528301886792453,14.735849056603774,0.0,54.40000000000001,91.19999999999999,107.39999999999998
LBF,53,0.24528301886792453,12.415094339622641,3.0,27.000000000000043,73.99999999999997,104.63999999999994
BRD,52,0.038461538461538464,3.173076923076923,0.0,0.0,8.14999999999997,72.22000000000016
LBL,52,0.1346153846153846,10.846153846153847,0.0,54.99999999999994,83.44999999999999,85.0
BFF,52,0.21153846153846154,19.057692307692307,2.0,38.59999999999998,69.69999999999989,266.4000000000007
PLN,52,0.09615384615384616,8.961538461538462,0.0,13.599999999999994,46.74999999999985,159.78000000000026
USA,52,0.36538461538461536,22.75,4.5,63.8,84.09999999999992,139.79000000000013
HIB,51,0.0392156862745098,4.803921568627451,0.0,0.0,9.5,109.5
MEI,51,0.0784313725490196,3.411764705882353,0.0,8.0,21.0,47.0
